date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020-12-20,556208.0,556208.0,0.0
2020-12-21,614117.0,614117.0,0.0
2020-12-22,614117.0,614117.0,0.0
2020-12-23,1008025.0,1008025.0,0.0
2020-12-24,1008025.0,1008025.0,0.0
2020-12-25,1008025.0,1008025.0,0.0
2020-12-26,1944585.0,1944585.0,0.0
2020-12-27,1944585.0,1944585.0,0.0
2020-12-28,2127143.0,2127143.0,0.0
2020-12-29,2127143.0,2127143.0,0.0
2020-12-30,2794588.0,2794588.0,0.0
2020-12-31,2794588.0,2794588.0,0.0
2021-01-01,2794588.0,2794588.0,0.0
2021-01-02,4225756.0,4225756.0,0.0
2021-01-03,4225756.0,4225756.0,0.0
2021-01-04,4563260.0,4563260.0,0.0
2021-01-05,4836469.0,4836469.0,0.0
2021-01-06,5306797.0,5306797.0,0.0
2021-01-07,5919418.0,5919418.0,0.0
2021-01-08,6688231.0,6688231.0,0.0
2021-01-09,6688231.0,6688231.0,0.0
2021-01-10,6688231.0,6688231.0,0.0
2021-01-11,8987322.0,8987322.0,0.0
2021-01-12,9327138.0,9327138.0,0.0
2021-01-13,10278462.0,9327138.0,0.0
2021-01-14,11148991.0,9690757.0,1342086.0
2021-01-15,12279180.0,10595866.0,1610524.0
2021-01-16,12279180.0,10595866.0,1610524.0
2021-01-17,12279180.0,10595866.0,1610524.0
2021-01-18,12279180.0,10595866.0,1610524.0
2021-01-19,15707588.0,13595803.0,2023124.0
2021-01-20,16525281.0,14270441.0,2161419.0
2021-01-21,17546374.0,15053257.0,2394961.0
2021-01-22,19107959.0,16243093.0,2756953.0
2021-01-23,20537990.0,17390345.0,3027865.0
2021-01-24,21848655.0,18502131.0,3216836.0
2021-01-25,22734243.0,19252279.0,3346390.0
2021-01-26,23540994.0,19902237.0,3481921.0
2021-01-27,24652634.0,20687970.0,3801053.0
2021-01-28,26193682.0,21698606.0,4263056.0
2021-01-29,27884661.0,22858318.0,4780888.0
2021-01-30,29577902.0,24064165.0,5259693.0
2021-01-31,31123299.0,25201143.0,5657142.0
2021-02-01,32222402.0,26023153.0,5927847.0
2021-02-02,32780860.0,26440836.0,6064792.0
2021-02-03,33878254.0,27154956.0,6436931.0
2021-02-04,35203710.0,27905197.0,6926050.0
2021-02-05,36819212.0,28909497.0,7503864.0
2021-02-06,39037964.0,30250964.0,8317180.0
2021-02-07,41210937.0,31579100.0,9147185.0
2021-02-08,42417617.0,32340146.0,9518015.0
2021-02-09,43206190.0,32867213.0,9840429.0
2021-02-10,44769970.0,33783384.0,10469514.0
2021-02-11,46390270.0,34723964.0,11188782.0
2021-02-12,48410558.0,35834855.0,12085830.0
2021-02-13,50641884.0,37056122.0,13082172.0
2021-02-14,52884356.0,38292270.0,14077440.0
2021-02-15,52884356.0,38292270.0,14077440.0
2021-02-16,55220364.0,39670551.0,15015434.0
2021-02-17,56281827.0,40268009.0,15471536.0
2021-02-18,57737767.0,41021049.0,16162358.0
2021-02-19,59585043.0,41977401.0,17039118.0
2021-02-20,61289500.0,42809595.0,17895667.0
2021-02-21,63090634.0,43628092.0,18865319.0
2021-02-22,64177474.0,44138118.0,19438495.0
2021-02-23,65032083.0,44544969.0,19882544.0
2021-02-24,66464947.0,45237143.0,20607261.0
2021-02-25,68274117.0,46074392.0,21555117.0
2021-02-26,70454064.0,47184199.0,22613359.0
2021-02-27,72806180.0,48435536.0,23698627.0
2021-02-28,75236003.0,49772180.0,24779920.0
2021-03-01,76899987.0,50732997.0,25466405.0
2021-03-02,78631601.0,51755447.0,26162122.0
2021-03-03,80540474.0,52855579.0,26957804.0
2021-03-04,82572848.0,54035670.0,27795980.0
2021-03-05,85008094.0,55547697.0,28701201.0
2021-03-06,87912323.0,57358849.0,29776160.0
2021-03-07,90351750.0,58873710.0,30686881.0
2021-03-08,92089852.0,60005231.0,31493040.0
2021-03-09,93692598.0,61088527.0,32102061.0
2021-03-10,95721290.0,62451150.0,32904161.0
2021-03-11,98203893.0,64071674.0,33863127.0
2021-03-12,101128005.0,65965305.0,35000159.0
2021-03-13,105703501.0,68884011.0,36929777.0
2021-03-14,107060274.0,69784210.0,37459269.0
2021-03-15,109081860.0,71054445.0,38335432.0
2021-03-16,110737856.0,72135616.0,39042345.0
2021-03-17,113037627.0,73669956.0,39989196.0
2021-03-18,115730008.0,75495716.0,40981464.0
2021-03-19,118313818.0,77230061.0,41934629.0
2021-03-20,121441497.0,79367225.0,43036818.0
2021-03-21,124481412.0,81415769.0,44141228.0
2021-03-22,126509736.0,82772416.0,44910946.0
2021-03-23,128217029.0,83930495.0,45533962.0
2021-03-24,130473853.0,85472166.0,46365515.0
2021-03-25,133305295.0,87343622.0,47419832.0
2021-03-26,136684688.0,89559225.0,48695172.0
2021-03-27,140180735.0,91707729.0,50141769.0
2021-03-28,143462691.0,93631163.0,51593564.0
2021-03-29,145812835.0,95015762.0,52614231.0
2021-03-30,147602345.0,96044046.0,53423486.0
2021-03-31,150273292.0,97593290.0,54607041.0
2021-04-01,153631404.0,99565311.0,56089614.0
2021-04-02,157606463.0,101804762.0,57984785.0
2021-04-03,161688422.0,104213478.0,59858146.0
2021-04-04,165053746.0,106214924.0,61416536.0
2021-04-05,167187795.0,107515428.0,62392065.0
2021-04-06,168592075.0,108301234.0,63016976.0
2021-04-07,171476655.0,109995734.0,64422618.0
2021-04-08,174879716.0,112046611.0,66203123.0
2021-04-09,178837781.0,114436039.0,68202458.0
2021-04-10,183467709.0,117142879.0,70692645.0
2021-04-11,187047131.0,119242902.0,72630892.0
2021-04-12,189692045.0,120848490.0,74066085.0
2021-04-13,192282781.0,122295530.0,75322283.0
2021-04-14,194791836.0,123917385.0,76681252.0
2021-04-15,198317040.0,125822868.0,78498290.0
2021-04-16,202282923.0,127743096.0,80609818.0
2021-04-17,205871913.0,129494179.0,82471151.0
2021-04-18,209406814.0,131247546.0,84263408.0
