ObservationDate,Confirmed,Deaths,Recovered
2020-01-22,1.0,0.0,0.0
2020-01-23,1.0,0.0,0.0
2020-01-24,2.0,0.0,0.0
2020-01-25,2.0,0.0,0.0
2020-01-26,5.0,0.0,0.0
2020-01-27,5.0,0.0,0.0
2020-01-28,5.0,0.0,0.0
2020-01-29,5.0,0.0,0.0
2020-01-30,5.0,0.0,0.0
2020-01-31,6.0,0.0,0.0
2020-02-01,8.0,0.0,0.0
2020-02-02,8.0,0.0,0.0
2020-02-03,11.0,0.0,0.0
2020-02-04,11.0,0.0,0.0
2020-02-05,12.0,0.0,0.0
2020-02-06,12.0,0.0,0.0
2020-02-07,12.0,0.0,0.0
2020-02-08,12.0,0.0,0.0
2020-02-09,12.0,0.0,3.0
2020-02-10,12.0,0.0,3.0
2020-02-11,13.0,0.0,3.0
2020-02-12,13.0,0.0,3.0
2020-02-13,15.0,0.0,3.0
2020-02-14,15.0,0.0,3.0
2020-02-15,15.0,0.0,3.0
2020-02-16,15.0,0.0,3.0
2020-02-17,15.0,0.0,3.0
2020-02-18,15.0,0.0,3.0
2020-02-19,15.0,0.0,3.0
2020-02-20,15.0,0.0,3.0
2020-02-21,35.0,0.0,5.0
2020-02-22,35.0,0.0,5.0
2020-02-23,35.0,0.0,5.0
2020-02-24,53.0,0.0,5.0
2020-02-25,53.0,0.0,6.0
2020-02-26,59.0,0.0,6.0
2020-02-27,60.0,0.0,6.0
2020-02-28,62.0,0.0,7.0
2020-02-29,70.0,1.0,7.0
2020-03-01,76.0,1.0,7.0
2020-03-02,101.0,6.0,7.0
2020-03-03,122.0,7.0,8.0
2020-03-04,153.0,11.0,8.0
2020-03-05,221.0,12.0,8.0
2020-03-06,278.0,14.0,8.0
2020-03-07,417.0,17.0,8.0
2020-03-08,537.0,21.0,8.0
2020-03-09,605.0,22.0,8.0
2020-03-10,959.0,28.0,8.0
2020-03-11,1281.0,36.0,8.0
2020-03-12,1663.0,40.0,12.0
2020-03-13,2179.0,47.0,12.0
2020-03-14,2726.0,54.0,12.0
2020-03-15,3499.0,63.0,12.0
2020-03-16,4632.0,85.0,17.0
2020-03-17,6421.0,108.0,17.0
2020-03-18,7786.0,118.0,106.0
2020-03-19,13680.0,200.0,108.0
2020-03-20,19101.0,244.0,147.0
