ObservationDate,Confirmed,Deaths,Recovered
2020-01-31,6.0,0.0,0.0
2020-02-29,70.0,1.0,7.0
2020-03-31,188417.0,3906.0,7024.0
2020-04-30,1070403.0,63354.0,153947.0
2020-05-31,1791798.0,104649.0,444758.0
2020-06-30,2646850.0,127263.0,720631.0
2020-07-31,4576721.0,153438.0,1438160.0
2020-08-31,6045000.0,183738.0,2184825.0
2020-09-30,7257599.0,207126.0,2840688.0
2020-10-31,9193017.0,231425.0,3612478.0
2020-11-30,13670332.0,270996.0,5146319.0
2020-12-31,20099363.0,352093.0,6399531.0
2021-01-31,26247053.0,449341.0,0.0
2021-02-28,28648744.0,514964.0,0.0
2021-03-31,30462210.0,552495.0,0.0
2021-04-30,32346971.0,576232.0,0.0
2021-05-31,32421534.0,577045.0,0.0
