Day,daily_vaccinations
1/22/2021,0.05830735
1/23/2021,0.063108582
1/24/2021,0.066901684
1/25/2021,0.067127355
1/26/2021,0.066948656
1/27/2021,0.069153576
1/28/2021,0.074255854
1/29/2021,0.075345334
1/30/2021,0.077745404
1/31/2021,0.07975434
2/1/2021,0.081810827
2/2/2021,0.079503673
2/3/2021,0.079377087
2/4/2021,0.077675813
2/5/2021,0.076979394
2/6/2021,0.081527325
2/7/2021,0.087050422
2/8/2021,0.087880239
2/9/2021,0.089862059
2/10/2021,0.094047579
2/11/2021,0.096364114
2/12/2021,0.100002999
2/13/2021,0.100011545
2/14/2021,0.100420863
2/15/2021,0.100106517
2/16/2021,0.103408501
2/17/2021,0.09926372
2/18/2021,0.09772958
2/19/2021,0.121952801
2/20/2021,0.118196712
2/21/2021,0.115377942
2/22/2021,0.115076448
2/23/2021,0.112641615
2/24/2021,0.116245286
2/25/2021,0.120354404
2/26/2021,0.098321517
2/27/2021,0.104311956
2/28/2021,0.110001865
3/1/2021,0.115296721
3/2/2021,0.123402829
3/3/2021,0.127804574
3/4/2021,0.129692193
3/5/2021,0.132234078
3/6/2021,0.137207584
3/7/2021,0.137312323
3/8/2021,0.137978349
3/9/2021,0.13583293
3/10/2021,0.136651952
3/11/2021,0.141007111
3/12/2021,0.145255732
3/13/2021,0.160251173
3/14/2021,0.15051621
3/15/2021,0.152958818
3/16/2021,0.154169423
3/17/2021,0.156788739
3/18/2021,0.158493739
3/19/2021,0.155326759
3/20/2021,0.142275291
3/21/2021,0.157422764
3/22/2021,0.15754858
3/23/2021,0.158161079
3/24/2021,0.157847119
3/25/2021,0.159016407
3/26/2021,0.166145933
3/27/2021,0.169410134
3/28/2021,0.171533577
3/29/2021,0.174405744
