Day,daily_vaccinations
2021-02-09,1398475
2021-03-13,2493903
2021-02-13,1556426
2021-01-13,901284
2021-03-29,2714183
2021-02-08,1367633
2021-01-26,1041886
2021-03-01,1794301
2021-01-22,907406
2021-02-02,1237273
2021-01-30,1209910
2021-03-04,2018330
2021-02-16,1609291
2021-03-23,2461376
2021-02-12,1556293
2021-02-26,1530125
2021-01-16,884011
2021-02-18,1520913
2021-02-20,1839432
2021-02-07,1354719
2021-02-01,1273178
2021-03-09,2113895
2021-01-14,839416
2021-02-14,1562796
2021-03-07,2136918
2021-01-27,1076200
2021-02-06,1268766
2021-01-19,850300
2021-02-19,1897886
2021-03-27,2636439
2021-03-24,2456490
2021-01-31,1241174
2021-02-05,1197989
2021-03-08,2147283
2021-02-23,1752981
2021-01-18,857793
2021-01-23,982125
2021-03-17,2440019
2021-03-18,2466553
2021-02-21,1795565
2021-02-25,1873011
2021-01-29,1172559
2021-02-15,1557904
2021-03-15,2380416
2021-03-03,1988954
2021-02-03,1235303
2021-03-12,2260537
2021-03-28,2669485
2021-02-17,1544788
2021-02-27,1623351
2021-03-10,2126641
2021-03-25,2474687
2021-02-11,1499663
2021-01-25,1044667
2021-01-20,833291
2021-03-21,2449886
2021-03-05,2057888
2021-03-22,2451844
2021-03-26,2585640
2021-03-11,2194418
2021-03-20,2214154
2021-01-21,848179
2021-03-16,2399256
2021-02-10,1463612
2021-03-19,2417267
2021-02-22,1790873
2021-03-14,2342403
2021-01-28,1155604
2021-01-15,910237
2021-03-02,1920452
2021-02-28,1711900
2021-03-06,2135288
2021-01-24,1041155
2021-02-24,1809063
2021-01-17,868283
2021-02-04,1208827
